id,battery,weight,accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,temperature,input,millis
45,3338.0,118,-2286,1858,-7912,1719,3526,-3313,27.09,0,1299
46,3338.0,118,-2420,1666,-7996,1803,3340,-3921,27.08,0,1326
47,3338.0,118,-2380,1212,-8306,1639,2683,-4014,27.08,0,1361
48,3338.0,118,-2406,1138,-8468,1080,1805,-3311,27.08,0,1398
49,3338.0,118,-2438,1160,-8546,565,1141,-2596,27.08,0,1404
50,3338.0,118,-2510,1082,-8538,134,847,-1700,27.08,0,1436
51,3338.0,118,-2414,1110,-8670,-432,576,-484,27.09,0,1492
52,3338.0,118,-2378,1374,-8696,-545,135,-22,27.08,0,1497
53,3338.0,118,-2292,1402,-8690,-520,-444,-35,27.08,0,1569
54,3338.0,118,-2282,1364,-8570,-402,-1119,9,27.08,0,1574
55,3338.0,118,-2302,1298,-8370,-520,-1178,69,27.08,0,1589
56,3338.0,118,-2300,1294,-8288,-846,-755,29,27.08,0,1614
57,3338.0,118,-2296,1250,-8240,-885,-544,-83,27.08,0,1663
58,3338.0,118,-2344,1230,-8278,-880,-292,-204,27.09,0,1667
59,3338.0,118,-2354,1202,-8366,-576,-427,-291,27.09,0,1700
60,3338.0,118,-2414,1232,-8300,-563,-340,-338,27.09,0,1754
61,3338.0,118,-2410,1280,-8274,-472,-294,-382,27.09,1,1764
62,3338.0,118,-2464,1302,-8250,-347,-189,-422,27.09,0,1805
63,3338.0,118,-2486,1324,-8258,-573,152,-352,27.08,0,1870
64,3338.0,118,-2470,1366,-8350,-276,-49,-404,27.08,0,1882
65,3338.0,118,-2482,1362,-8372,-173,-9,-390,27.09,0,1889
66,3338.0,118,-2466,1342,-8464,-390,-207,-278,27.09,0,1898
67,3338.0,118,-2468,1354,-8452,-366,-429,-268,27.09,0,1933
68,3338.0,118,-2488,1278,-8398,-382,-406,-255,27.08,0,1948
69,3338.0,118,-2494,1284,-8360,-323,-398,-104,27.08,0,1986
70,3338.0,118,-2454,1264,-8340,-217,-394,-82,27.09,0,2007
71,3338.0,118,-2408,1282,-8344,-204,-361,-93,27.09,0,2042
72,3338.0,118,-2406,1254,-8320,-253,-427,-198,27.08,0,2068
73,3338.0,118,-2440,1208,-8314,-457,-235,-253,27.09,0,2108
74,3338.0,118,-2460,1240,-8370,-217,-368,-261,27.08,0,2128
75,3338.0,118,-2496,1188,-8408,-58,-437,-333,27.1,0,2181
76,3338.0,118,-2496,1182,-8432,-427,-391,5,27.1,0,2187
77,3338.0,118,-2502,1290,-8394,-765,-631,437,27.1,0,2209
78,3338.0,118,-2518,1356,-8320,-545,-621,532,27.1,0,2237
79,3338.0,118,-2570,1396,-8402,-513,-550,497,27.09,0,2274
80,3338.0,118,-2604,1328,-8484,-728,-220,559,27.1,0,2291
81,3338.0,118,-2536,1394,-8600,-810,-635,777,27.1,0,2327
82,3338.0,118,-2610,1380,-8442,-202,-795,661,27.09,0,2351
83,3338.0,118,-2740,1270,-8352,-19,-391,799,27.09,0,2388
84,3338.0,118,-2722,1246,-8458,-376,-308,1314,27.1,0,2428
85,3338.0,118,-2812,1378,-8490,-322,-548,1865,27.1,0,2497
86,3338.0,118,-2844,1416,-8546,-373,-252,2189,27.09,0,2504
87,3338.0,118,-2910,1336,-8742,-700,-40,2778,27.09,0,2521
88,3338.0,118,-2840,1490,-8844,-540,-358,3265,27.09,0,2531
89,3338.0,118,-2754,1596,-8904,-586,-594,3457,27.1,0,2572
90,3338.0,118,-2568,1646,-9002,-1401,-319,3789,27.09,0,2597
91,3338.0,118,-2320,1752,-8948,-1985,-314,3742,27.1,0,2603
92,3338.0,118,-2196,1778,-8728,-2075,-665,3375,27.1,0,2651
93,3338.0,118,-2114,1894,-8528,-1967,-219,2862,27.1,0,2667
94,3338.0,118,-2030,1892,-8588,-1779,-84,2025,27.1,0,2694
95,3338.0,118,-1974,1872,-8448,-1017,-1052,890,27.1,0,2777
96,3338.0,118,-1954,1922,-7960,53,-1810,-74,27.1,0,2781
97,3338.0,118,-1962,1906,-7714,273,-1608,-946,27.11,0,2793
98,3338.0,118,-2016,1790,-7680,-246,-1500,-1826,27.1,0,2802
99,3338.0,118,-2144,1788,-7804,-288,-1106,-2876,27.1,0,2843
100,3338.0,118,-2298,1578,-8268,-631,-744,-3437,27.1,0,2859
101,3338.0,118,-2422,1522,-8696,-1074,-860,-3285,27.1,0,2899
102,3338.0,118,-2342,1532,-8552,-1070,-1002,-3706,27.11,0,2938
103,3338.0,118,-2530,1426,-7890,-2317,-489,-3852,27.1,0,2975
104,3338.0,118,-2544,1496,-8044,-1345,-456,-3882,27.1,0,2981
105,3338.0,118,-2724,1378,-8108,-1668,-1234,-3225,27.1,0,3007
106,3338.0,118,-2824,1552,-8128,-2612,-93,-2060,27.1,0,3077
107,3338.0,118,-2732,1676,-8368,-3901,-137,-1375,27.1,0,3086
108,3338.0,118,-2820,1422,-8058,-3143,-1467,-1451,27.1,0,3125
109,3338.0,118,-3156,1252,-7640,-2721,-2447,-449,27.1,0,3138
110,3338.0,118,-3082,1446,-7460,-1813,-1658,329,27.1,0,3149
111,3338.0,118,-3034,1562,-7250,-1454,-855,318,27.1,0,3200
112,3338.0,118,-3124,1614,-7124,-685,-26,665,27.1,0,3216
113,3338.0,118,-3090,1766,-7344,732,1021,733,27.1,0,3229
114,3338.0,118,-2856,2026,-7900,792,1245,697,27.1,0,3271
115,3338.0,118,-2804,2154,-8152,362,1124,25,27.1,0,3296
116,3338.0,118,-2706,2074,-8384,345,463,207,27.1,0,3330
117,3338.0,118,-2636,2162,-8178,271,-368,517,27.11,0,3372
118,3338.0,118,-2462,2254,-8116,194,-1206,760,27.1,0,3378
119,3338.0,118,-2514,2280,-7822,-1017,-1870,762,27.1,0,3408
120,3338.0,118,-2678,2264,-7674,-852,-1101,444,27.1,0,3439
121,3338.0,118,-2718,1932,-7400,395,-441,341,27.1,0,3463
122,3338.0,118,-2862,1764,-7758,-1203,-828,1559,27.11,0,3505
123,3338.0,118,-3204,2190,-7734,-566,824,1157,27.11,0,3525
124,3338.0,118,-3184,2188,-7876,-1162,1079,1409,27.11,0,3564
125,3338.0,118,-3362,2222,-7998,-1394,893,1931,27.1,0,3572
126,3338.0,118,-3252,2414,-8030,-476,345,1824,27.1,0,3629
127,3338.0,118,-3496,2556,-7982,460,-816,1811,27.11,0,3634
128,3338.0,118,-3432,2676,-8242,-590,-861,572,27.1,0,3681
129,3338.0,118,-3294,2560,-7870,37,-2416,563,27.11,0,3715
130,3338.0,118,-3248,2374,-7314,-418,-3722,655,27.1,0,3719
131,3338.0,119,-3468,2822,-6950,-583,-4234,651,27.1,0,3767
132,3338.0,119,-3314,2708,-7236,54,-2743,-187,27.11,0,3773
133,3338.0,121,-3284,2742,-7110,884,-2037,-882,27.1,0,3830
134,3338.0,118,-3238,2454,-6890,68,-103,-1338,27.1,0,3835
135,3338.0,118,-3324,2404,-7530,-131,933,-1409,27.1,0,3865
136,3338.0,118,-3266,2494,-7764,622,46,-1837,27.1,0,3915
137,3338.0,118,-3144,2518,-7768,1577,270,-2025,27.1,0,3924
138,3338.0,118,-2914,2386,-7852,1365,1812,-2148,27.11,0,3970
139,3338.0,118,-2856,2362,-8150,-134,1680,-1858,27.1,0,3975
140,3338.0,118,-2784,2080,-8266,-260,1766,-1852,27.1,0,4005
141,3338.0,118,-2784,2046,-8310,208,2016,-2075,27.1,0,4031
142,3338.0,118,-2560,1758,-8334,508,2411,-1833,27.11,0,4067
143,3338.0,118,-2358,1750,-8164,131,3126,-1538,27.1,0,4105
144,3338.0,118,-2354,1634,-8108,-230,2998,-1509,27.1,0,4133
145,3338.0,118,-2636,1486,-8092,844,2689,-1612,27.12,0,4158
146,3338.0,118,-2752,1358,-8056,1956,3346,-1291,27.12,0,4194
147,3338.0,118,-2460,1436,-8320,1978,3821,-893,27.13,0,4233
148,3338.0,118,-2536,1404,-8320,2171,3299,-1487,27.12,0,4269
149,3338.0,118,-2792,1168,-8456,3356,3011,-1579,27.13,0,4279
150,3338.0,118,-2950,790,-8432,6315,2325,-1542,27.12,0,4309
151,3338.0,118,-3024,356,-8374,7943,2479,-836,27.12,0,4315
152,17162.0,38925,-30208,-2442,25217,8286,-27494,-30077,218.87,0,4350
153,3338.0,118,-2202,372,-8492,5924,-11,-379,27.12,0,4364
154,3338.0,118,-2334,16,-8600,4648,-183,-1554,27.12,0,4393
155,3338.0,118,-2140,18,-8460,3905,-166,-1254,27.12,0,4420
156,3338.0,118,-2060,228,-8582,3457,139,-1412,27.12,0,4450
157,3338.0,118,-2028,-340,-8658,3392,-779,-1464,27.11,0,4478
158,3338.0,123,-2514,-624,-8468,3218,-2121,-140,27.12,0,4507
159,3338.0,127,-2526,-680,-8710,3542,-588,294,27.12,0,4574
160,3338.0,128,-2230,-508,-8922,1628,856,788,27.11,0,4586
161,3338.0,138,-1634,-304,-8272,1438,2430,1502,27.12,0,4591
162,3338.0,158,-1182,-98,-9186,4521,1727,1026,27.12,0,4622
163,3338.0,165,-1700,-128,-9946,5945,-2380,-985,27.12,0,4669
164,3338.0,170,-1884,-228,-9548,564,-400,-1752,27.12,0,4680
165,3338.0,188,-2320,-540,-9970,-5588,2014,-1410,27.11,0,4698
166,3338.0,198,-2936,-844,-9334,-6793,1643,-52,27.12,0,4734
167,3338.0,201,-2776,-566,-7946,-6731,1955,1356,27.11,0,4767
168,3338.0,214,-1452,258,-5602,-5923,3279,1944,27.12,0,4791
169,3338.0,216,-430,762,-6046,-4573,4283,262,27.12,0,4827
170,3338.0,215,-954,428,-8414,-1405,2695,-1638,27.12,0,4871
171,3338.0,214,-1392,262,-8824,-818,1929,-1794,27.12,0,4877
172,3338.0,210,-1384,200,-8168,-1260,1605,-1405,27.12,0,4915
173,3338.0,202,-1042,274,-7164,-1694,1657,-785,27.12,0,4954
174,3338.0,188,-720,686,-7730,878,-292,-1695,27.12,0,4959
175,3338.0,158,-1208,582,-10004,5755,-4897,-3082,27.12,0,5034
176,3338.0,148,-2540,-410,-11184,6989,-6896,-3390,27.11,0,5043
177,3338.0,138,-2724,-876,-9712,363,-5112,-871,27.11,0,5052
178,3338.0,135,-2630,-572,-9088,-1836,-3855,-109,27.12,0,5076
179,3338.0,136,-2724,-566,-8994,-1390,-3528,271,27.12,0,5097
180,3338.0,138,-2844,-752,-8810,-1922,-2746,1009,27.12,0,5130
181,3338.0,154,-2688,-364,-7594,-5797,-828,3060,27.12,0,5178
182,3338.0,158,-2126,-404,-7972,-3383,166,2523,27.12,0,5187
183,3338.0,168,-2036,116,-8404,-1367,309,1393,27.12,0,5221
184,3338.0,187,-2328,0,-8840,-1169,930,1213,27.12,0,5239
185,3338.0,198,-2840,276,-8994,265,1115,2108,27.12,0,5276
186,3338.0,220,-2780,496,-10130,-260,256,909,27.14,0,5298
187,3338.0,224,-2904,406,-10186,-470,-838,1139,27.13,0,5367
188,3338.0,226,-2398,514,-9606,-723,-1213,2371,27.13,0,5372
189,3338.0,243,-2072,494,-8710,-847,-1982,2275,27.12,0,5393
190,3338.0,246,-1968,250,-8180,-1314,-708,1666,27.13,0,5420
191,3338.0,246,-2226,-48,-8548,-1457,-209,1717,27.13,0,5475
192,3338.0,252,-2524,-118,-8698,-1268,-636,1912,27.13,0,5491
193,3338.0,256,-2644,32,-8582,-1032,-1262,1597,27.14,0,5505
194,3338.0,256,-2534,448,-8564,-1529,-717,1648,27.12,0,5535
195,3338.0,258,-2462,870,-9058,-2624,-254,244,27.13,0,5565
196,3338.0,276,-2782,632,-8872,-2958,-877,257,27.13,0,5613
197,3338.0,276,-3038,298,-7852,-2990,-376,1725,27.13,0,5622
198,3338.0,276,-2896,502,-6892,-2007,370,3399,27.12,0,5645
199,3338.0,276,-2208,1010,-6754,-588,1003,2114,27.13,0,5684
200,3338.0,282,-2032,1118,-8006,988,687,977,27.13,0,5701
201,3338.0,286,-2416,958,-9562,863,-1627,1327,27.13,0,5777
202,3338.0,286,-2562,1010,-8936,-36,-3379,1114,27.13,0,5782
203,3338.0,287,-2506,846,-7690,-376,-2813,700,27.13,0,5793
204,3338.0,289,-2452,800,-7154,-252,-1244,753,27.13,0,5821
205,3338.0,299,-2226,878,-7470,320,-367,-92,27.13,0,5862
206,3338.0,303,-2070,974,-8568,406,349,-1026,27.12,0,5868
207,3338.0,307,-2076,766,-8838,173,142,-1001,27.13,0,5909
208,3338.0,307,-1984,316,-7804,-180,1334,168,27.12,0,5947
209,3338.0,308,-1604,622,-7772,-338,1915,-306,27.13,0,5953
210,3338.0,307,-1540,1078,-8362,-378,1631,-1412,27.13,0,5991
211,3338.0,307,-1812,534,-8084,-503,1879,-510,27.14,0,6028
212,3338.0,307,-2130,-16,-7336,-380,1887,1150,27.14,0,6078
213,3338.0,308,-1078,614,-5604,716,1720,1127,27.13,0,6083
214,3338.0,307,-140,1346,-5282,2635,1524,-1756,27.13,0,6101
215,3338.0,307,-328,1332,-5078,4084,643,-4834,27.13,0,6134
216,3338.0,301,-372,1174,-4514,5273,-309,-7177,27.14,0,6161
217,3338.0,287,-590,1076,-6382,6294,-610,-9130,27.15,0,6200
218,3338.0,286,-2156,120,-9182,6421,-2580,-10077,27.15,0,6222
219,3338.0,282,-2166,-350,-8200,3391,-2037,-7543,27.14,0,6269
220,3338.0,276,-474,32,-6038,1619,1289,-6484,27.14,0,6276
221,3338.0,260,-1130,-1288,-7734,1873,3198,-8900,27.15,0,6318
222,3338.0,246,-2160,-2152,-10024,1493,2830,-8571,27.15,0,6374
223,3338.0,236,-2808,-2066,-12190,1482,582,-5934,27.14,0,6384
224,3338.0,220,-4586,-2558,-14500,1199,-4760,-2298,27.14,0,6394
225,3338.0,188,-5324,-2268,-13362,-1185,-7150,2251,27.14,0,6416
226,3338.0,158,-3666,-1334,-9644,-3597,-4013,5906,27.15,0,6455
227,3338.0,157,-1652,-324,-6846,-3963,-468,4760,27.15,0,6491
228,3338.0,148,-1314,-558,-6684,-2066,1908,1513,27.15,0,6498
229,3338.0,148,-1924,-1240,-7486,298,2756,697,27.15,0,6528
230,3338.0,138,-2044,-1410,-7590,2048,2642,1609,27.15,0,6564
231,3338.0,135,-1888,-1024,-8208,2544,2390,1058,27.15,0,6588
232,3338.0,128,-2224,-1060,-9062,782,2913,-1724,27.15,0,6611
233,3338.0,128,-2540,-1408,-9394,588,2131,-2974,27.15,0,6677
234,3338.0,128,-2542,-1446,-8878,812,1046,-2583,27.14,0,6690
235,3338.0,128,-2736,-1436,-8956,322,394,-2425,27.14,0,6701
236,3338.0,128,-2950,-1366,-9120,176,398,-2990,27.15,0,6731
237,3338.0,128,-2622,-1422,-9336,1007,237,-3299,27.14,0,6758
238,3338.0,128,-2332,-1416,-9204,849,-1799,-1507,27.14,0,6799
239,3338.0,128,-2386,-1162,-9354,569,-2467,-1456,27.15,0,6828
240,3338.0,128,-2652,-1334,-9882,183,-2914,-1482,27.14,0,6846
241,3338.0,128,-2726,-1298,-10324,-432,-4762,-977,27.15,0,6871
242,3338.0,128,-2922,-1330,-10632,-305,-6975,-609,27.14,0,6907
243,3338.0,128,-3352,-1698,-10154,-810,-7780,381,27.15,0,6988
244,3338.0,128,-3520,-1944,-9612,-2299,-6763,2274,27.15,0,7011
245,3338.0,128,-3754,-1882,-9744,-1998,-8437,4025,27.15,0,7026
246,3338.0,128,-4120,-1680,-9414,-2057,-9863,6146,27.15,0,7032
247,3338.0,154,-2686,-1298,-4438,-3461,-861,8443,27.15,0,7046
248,3338.0,168,-1074,-760,-3204,-6225,9181,6357,27.15,0,7099
249,3338.0,187,-880,-1092,-6770,3851,2215,2831,27.15,0,7111
250,3338.0,208,-3810,-1170,-10850,10240,-5817,252,27.15,0,7132
251,3338.0,226,-5424,-1292,-13032,4273,-5050,1858,27.15,0,7170
252,3338.0,233,-3630,428,-11956,-1443,-5032,2471,27.15,0,7192
253,3338.0,246,-2962,202,-9776,-5197,-3943,699,27.15,0,7228
254,3338.0,250,-3506,-748,-8844,-6137,-2531,1009,27.15,0,7271
255,3338.0,256,-3866,-1152,-8236,-6581,-655,2889,27.15,0,7283
256,3338.0,256,-3656,-842,-7074,-6564,-165,2785,27.15,0,7307
257,3338.0,266,-3236,-50,-5270,-6044,814,1687,27.15,0,7329
258,3338.0,277,-3394,174,-5210,-5485,2952,313,27.14,0,7369
259,3338.0,283,-3614,258,-6272,-5178,3127,-323,27.15,0,7408
260,3338.0,286,-3882,252,-6814,-3975,1638,99,27.15,0,7415
261,3338.0,286,-4070,100,-7110,-3389,1402,1178,27.15,0,7450
262,3338.0,293,-4058,-80,-6676,-2802,1011,3541,27.15,0,7467
263,3338.0,307,-3284,676,-6240,-2104,280,2728,27.15,0,7502
264,3338.0,307,-2900,886,-6418,-646,-515,1462,27.14,0,7538
265,3338.0,308,-2918,896,-7712,-42,-821,1406,27.14,0,7611
266,3338.0,307,-3126,714,-7946,-584,-1548,1044,27.15,0,7624
267,3338.0,308,-3088,460,-7484,-1159,-1464,1529,27.15,0,7629
268,3338.0,310,-2508,674,-6936,-864,-992,1889,27.14,0,7639
269,3338.0,309,-2244,1026,-6864,-561,-352,526,27.15,0,7668
270,3338.0,309,-2664,908,-7400,-242,-702,-638,27.15,0,7713
271,3338.0,308,-2338,1220,-6530,298,-748,-314,27.16,0,7736
272,3338.0,308,-2198,1316,-5956,1301,-309,-1612,27.16,0,7760
273,3338.0,308,-2342,1052,-4834,2440,-662,-3170,27.15,0,7788
274,3338.0,307,-1710,1036,-3640,4464,-297,-4170,27.15,0,7836
275,3338.0,302,-1418,1176,-4974,6090,913,-5602,27.16,0,7877
276,3338.0,287,-2252,348,-6896,6098,335,-8084,27.16,0,7883
277,3338.0,286,-3030,-206,-7924,4383,-141,-7878,27.16,0,7903
278,3338.0,283,-3026,-54,-7700,2240,791,-6404,27.15,0,7924
279,3338.0,276,-2752,-352,-7182,1931,1900,-6455,27.16,0,7981
280,3338.0,260,-3826,-1532,-8870,1160,2509,-6920,27.16,0,7985
281,3338.0,246,-5466,-2242,-11780,-83,668,-5752,27.16,0,8016
282,3338.0,226,-6632,-2292,-13364,-914,-3644,-3027,27.16,0,8035
283,3338.0,207,-6342,-1660,-12154,-2449,-5834,863,27.16,0,8073
284,3338.0,188,-4624,-666,-9344,-4052,-3332,4199,27.15,0,8107
285,3338.0,177,-3064,-100,-7052,-4877,940,5153,27.15,0,8124
286,3338.0,168,-2490,-100,-6392,-3552,2988,2976,27.15,0,8184
287,3338.0,164,-2772,-730,-6440,-1363,4393,737,27.16,0,8189
288,3338.0,158,-3250,-1240,-7030,550,5090,418,27.17,0,8233
289,3338.0,158,-3196,-1098,-7524,2811,4097,787,27.17,0,8242
290,3338.0,157,-3254,-844,-8522,2755,3876,-345,27.17,0,8267
291,3338.0,155,-3586,-1006,-9432,2453,2682,-754,27.17,0,8308
292,3338.0,150,-3666,-926,-9382,2759,581,-583,27.17,0,8337
293,3338.0,148,-3466,-704,-9038,1816,573,-412,27.15,0,8355
294,3338.0,148,-3014,-354,-8960,343,716,-637,27.17,0,8382
295,3338.0,148,-2818,-358,-8574,-520,667,-448,27.17,0,8419
296,3338.0,148,-2962,-614,-8430,-470,529,-808,27.17,0,8434
297,3338.0,145,-3388,-986,-8752,284,-365,-777,27.16,0,8478
298,3338.0,141,-3426,-886,-8796,310,-1079,-301,27.17,0,8500
299,3338.0,139,-3256,-732,-8768,-715,-764,143,27.18,0,8538
300,3338.0,138,-2988,-540,-8744,-1268,-774,-26,27.18,0,8557
301,3338.0,138,-2928,-508,-8500,-1450,-821,-185,27.17,0,8581
302,3338.0,137,-3032,-562,-8350,-2164,-172,-155,27.17,0,8616
303,3338.0,137,-3252,-564,-8648,-2120,-323,-459,27.17,0,8633
304,3338.0,137,-3366,-716,-8710,-1847,-1128,-583,27.17,0,8678
305,3338.0,136,-3344,-754,-8152,-2200,-1102,111,27.17,0,8697
306,3338.0,136,-3154,-684,-7664,-2770,-191,945,27.17,0,8773
307,3338.0,135,-2954,-372,-7704,-1949,1183,503,27.17,0,8778
308,3338.0,135,-2896,-338,-7842,-2231,1494,373,27.17,0,8784
309,3338.0,135,-2928,-354,-8298,-1679,1433,271,27.17,0,8827
310,3338.0,135,-2618,-128,-8572,-1116,-106,421,27.17,0,8835
311,3338.0,135,-2820,-144,-8580,-439,-871,212,27.17,0,8886
312,3338.0,135,-3022,-132,-8662,767,-1605,557,27.17,0,8911
313,3338.0,136,-3200,-124,-8828,732,-2118,613,27.17,0,8949
314,3338.0,137,-3278,-350,-9456,1857,-3334,1265,27.18,0,8954
315,3338.0,139,-4112,-552,-9388,1887,-5303,1985,27.18,0,8981
316,3338.0,152,-4594,-1308,-8266,1447,-4971,2037,27.18,0,9010
317,3338.0,158,-3988,-1398,-5826,-992,364,4267,27.17,0,9089
318,3338.0,168,-2518,-1042,-6680,1729,789,4141,27.19,0,9096
319,3338.0,196,-2742,188,-10658,5002,-3462,-415,27.18,0,9108
320,3338.0,208,-4936,-516,-13042,3076,-5505,-1311,27.17,0,9129
321,3338.0,222,-4932,-624,-11088,-1851,-5406,1632,27.18,0,9153
322,3338.0,149,-4272,-414,-8464,-4729,-3987,2955,27.18,0,9188
323,3338.0,62,-3356,216,-7262,-5547,-1870,2819,27.18,0,9209
324,3338.0,69,-3814,-58,-7880,-5686,33,2010,27.18,0,9235
325,3338.0,81,-4420,-352,-8300,-7041,1339,3584,27.17,0,9257
326,3338.0,98,-4222,-70,-7192,-7439,2155,5044,27.18,0,9300
327,3338.0,155,-3224,1128,-5790,-7530,2572,3984,27.18,0,9326
328,3338.0,91,-3120,1290,-5636,-5921,2820,1632,27.18,0,9372
329,3338.0,116,-2862,1454,-5294,-3963,2985,639,27.18,0,9382
330,3338.0,88,-2826,1064,-6186,-1905,3102,-155,27.18,0,9404
331,3338.0,93,-3560,504,-7226,-1547,1569,-607,27.19,0,9439
332,3338.0,162,-3770,236,-6992,-1164,1030,1302,27.19,0,9476
333,3338.0,107,-3428,810,-7548,-1249,1196,3152,27.18,0,9511
334,3338.0,200,-2714,1618,-8104,-1698,325,2123,27.18,0,9523
335,3338.0,146,-2738,1518,-7950,-1859,-89,1299,27.18,0,9553
336,3338.0,135,-2904,1408,-7566,-1845,-361,2179,27.18,0,9592
337,3338.0,222,-2744,1130,-5832,-782,-1099,1214,27.18,0,9614
338,3338.0,191,-2124,516,-4132,1384,-786,838,27.18,0,9677
339,3338.0,131,-660,1372,-4856,3492,-184,549,27.18,0,9682
340,3338.0,120,102,2416,-5662,4490,-835,-2908,27.18,0,9695
341,3338.0,110,10,2430,-5102,4818,-2442,-6942,27.19,0,9726
342,3338.0,101,-1080,1426,-5576,4329,-765,-8988,27.19,0,9762
343,3338.0,112,-3404,138,-7092,4402,-943,-8621,27.19,0,9780
344,3338.0,103,-3706,-12,-6892,3511,-23,-6398,27.19,0,9800
345,3338.0,111,-2802,102,-7204,2306,2727,-4269,27.19,0,9853
346,3338.0,106,-3174,-310,-8874,1437,3162,-5580,27.19,0,9871
347,3338.0,81,-3736,-604,-10078,-4576,6018,-6146,27.19,0,9909
348,3338.0,118,-4148,-458,-12846,-5507,5001,-4691,27.19,0,9932
349,3338.0,97,-5530,-932,-14370,-2522,-724,-2778,27.19,0,9971
350,3338.0,105,-5470,-650,-12332,-2515,-3056,253,27.19,0,9982
351,3338.0,173,-4196,-364,-8926,-2576,-1973,3927,27.2,0,10001
352,3338.0,148,-2906,24,-7016,-457,512,6987,27.19,0,10059
353,3338.0,148,-2592,446,-6336,1307,1040,4882,27.19,0,10059
354,3338.0,148,-2844,-24,-6438,2199,3311,2007,27.18,0,10111
355,3338.0,148,-2738,-240,-7190,3142,3773,1545,27.19,0,10162
356,3338.0,143,-2852,-134,-8148,3226,2608,897,27.19,0,10169
357,3338.0,138,-2786,92,-8614,2153,1786,-1087,27.19,0,10173
358,3338.0,138,-2792,-112,-8472,1990,1540,-2106,27.18,0,10215
359,3338.0,138,-3078,-238,-8928,1750,654,-2812,27.18,0,10273
360,3338.0,138,-3290,-458,-8958,1302,-385,-2763,27.19,0,10292
361,3338.0,135,-3350,-234,-8572,335,-249,-2025,27.18,0,10297
362,3338.0,134,-3112,-222,-8634,296,2218,-2297,27.19,0,10323
363,3338.0,134,-2948,-348,-8842,434,971,-1366,27.19,0,10351
