id,battery,weight,accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,temperature,input,millis
0,3338.0,118,-2890,1914,-8010,-362,-48,-369,27.07,0,0
1,3338.0,118,-2868,1916,-8058,-374,-75,-406,27.07,0,96
2,3338.0,118,-2838,1956,-8036,-385,-139,-458,27.06,0,98
3,3338.0,118,-2834,1992,-7998,-304,-196,-504,27.07,0,126
4,3338.0,118,-2862,1982,-8018,-310,-131,-497,27.07,0,134
5,3338.0,118,-2864,1972,-8072,-416,-138,-404,27.07,0,156
6,3338.0,118,-2876,1908,-8044,-366,-218,-414,27.07,0,208
7,3338.0,118,-2872,1884,-8034,-259,-266,-337,27.08,0,214
8,3338.0,118,-2870,1910,-8038,-319,-148,-238,27.07,0,242
9,3338.0,118,-2838,1952,-8112,-360,-107,-271,27.08,0,268
10,3338.0,118,-2850,1942,-8164,-291,-165,-375,27.07,0,303
11,3338.0,118,-2904,1856,-8140,-344,-161,-356,27.07,0,325
12,3338.0,118,-2910,1836,-8122,-330,-251,-281,27.07,0,372
13,3338.0,118,-2886,1876,-8056,-291,-236,-210,27.08,0,386
14,3338.0,118,-2866,1914,-8100,-374,-58,-172,27.07,0,431
15,3338.0,118,-2842,1978,-8154,-390,-83,-151,27.07,0,459
16,3338.0,118,-2810,1994,-8164,-471,-84,-207,27.07,0,479
17,3338.0,118,-2806,1946,-8136,-593,-103,-301,27.07,0,495
18,3338.0,118,-2832,1882,-8010,-523,-255,-414,27.08,0,553
19,3338.0,118,-2882,1790,-7922,-450,-73,-403,27.08,0,564
20,3338.0,118,-2892,1754,-7886,-393,181,-294,27.07,0,582
21,3338.0,118,-2864,1762,-7938,-363,403,-136,27.08,0,610
22,3338.0,118,-2802,1854,-8076,-489,531,-5,27.08,0,672
23,3338.0,118,-2756,1948,-8144,-461,328,-69,27.07,0,682
24,3338.0,118,-2762,1970,-8112,-456,160,-165,27.07,0,704
25,3338.0,118,-2786,1980,-8184,-380,-69,-263,27.07,0,740
26,3338.0,118,-2810,1926,-8186,-476,-249,-252,27.07,0,747
27,3338.0,118,-2846,1920,-8236,-802,-302,-135,27.08,0,794
28,3338.0,118,-2814,1964,-8274,-933,-565,-150,27.07,0,823
29,3338.0,118,-2776,1962,-8166,-1070,-648,-295,27.07,0,836
30,3338.0,118,-2750,1910,-8072,-1072,-537,-320,27.08,0,875
31,3338.0,118,-2710,1936,-7958,-1005,-232,-320,27.08,0,920
32,3338.0,118,-2662,1916,-7960,-832,3,-401,27.08,0,926
33,3338.0,118,-2734,1900,-7966,-603,79,-447,27.07,0,973
34,3338.0,118,-2760,1904,-8096,-634,284,-372,27.08,0,987
35,3338.0,118,-2754,1894,-8146,-711,244,-366,27.08,0,1012
36,3338.0,118,-2734,1946,-8080,-667,-5,-396,27.08,0,1053
37,3338.0,118,-2752,2030,-8072,-646,-153,-584,27.09,0,1079
38,3338.0,118,-2836,1990,-8046,-624,-119,-678,27.09,0,1101
39,3338.0,118,-2894,2078,-8064,-514,93,-750,27.09,0,1127
40,3338.0,118,-2882,2068,-8134,123,-45,-1269,27.09,0,1192
41,3338.0,118,-3000,1830,-8082,659,2,-1001,27.09,0,1198
42,3338.0,118,-2924,1946,-8128,1163,90,-368,27.08,0,1220
43,3338.0,118,-2746,2196,-7938,1531,1298,-1535,27.09,0,1275
44,3338.0,118,-2506,2084,-7850,1432,3156,-2713,27.09,0,1285
